pts,crf_ref,encode_order,intra_qp_ref,intra_total_bits,intra_y_psnr,intra_u_psnr,intra_v_psnr,intra_yuv_psnr,intra_ssim,intra_ssim_db,intra_total_time,poc,inter_qp_ref,inter_total_bits,inter_y_psnr,inter_u_psnr,inter_v_psnr,inter_yuv_psnr,inter_ssim,inter_ssim_db,inter_total_time,ctu_intra_pct,ctu_merge_pct,ctu_skip_pct,ctu_inter_pct
3333333,28,200,3314,350640,39162,44270,43724,40371,964486,14496,48360,200,3017,68552,39991,46051,45261,41407,972419,15594,3760,4.83,51.21,10.92,33.04
3350000,28,201,3313,353392,39123,44307,43728,40347,964449,14491,32410,201,2984,74288,40072,46083,45302,41477,972714,15641,3740,4.08,49.68,9.38,36.86
3366667,28,202,3315,351744,39140,44324,43739,40363,964593,14509,30020,202,2976,81392,40077,46102,45312,41485,972761,15648,3830,4.27,43.12,12.01,40.6
3383333,28,203,3313,352240,39150,44335,43741,40372,964610,14511,43890,203,2979,84080,40127,46080,45281,41515,972893,15669,3720,4.73,42.89,13.57,38.81
3400000,28,204,3307,349640,39238,44353,43694,40435,965217,14586,24680,204,3018,80888,39971,45982,45212,41378,972228,15564,3730,6.84,42.94,10.82,39.4
3416667,28,205,3308,349024,39195,44452,43747,40421,964880,14544,28250,205,2985,83400,40134,46042,45240,41511,972864,15665,3710,5.57,46.99,9.8,37.64
3433333,28,206,3307,351992,39259,44376,43739,40458,965329,14600,49380,206,2973,85352,40159,46043,45240,41530,972885,15668,3940,4.62,46.23,8.8,40.35
3450000,28,207,3307,350344,39261,44309,43667,40443,965155,14579,28670,207,2975,88024,40190,46015,45206,41545,972950,15678,4010,4.54,43.88,11.64,39.94
3466667,28,208,3303,348152,39355,44361,43780,40534,965932,14677,28640,208,2996,73424,40109,45938,45130,41465,972745,15645,4030,4.83,45.67,12.46,37.04
3483333,28,209,3303,348864,39317,44461,43862,40528,965398,14609,44630,209,2980,81288,40230,45970,45170,41565,973209,15720,4030,4.99,49.45,9.1,36.46
3500000,28,210,3302,351752,39339,44330,43704,40508,965419,14612,27750,210,2986,85760,40261,45937,45155,41583,973244,15726,4280,3.8,46.58,11.12,38.5
3516667,28,211,3303,349472,39363,44354,43702,40529,965439,14614,27880,211,2974,103600,40246,45871,45130,41560,972815,15657,4330,7.25,34.43,13.7,44.62
3533333,28,212,3302,346992,39411,44306,43735,40563,965594,14634,39690,212,3023,67352,40134,45778,45036,41452,972499,15607,4170,3.69,53.32,8.59,34.4
3550000,28,213,3302,348384,39384,44284,43712,40538,965208,14585,27010,213,2989,82904,40250,45822,45089,41552,972848,15662,4030,4.69,48.42,8.43,38.46
3566667,28,214,3302,348072,39401,44289,43738,40554,965271,14593,27960,214,2970,90848,40322,45849,45151,41616,972939,15677,4510,4.98,42.71,10.7,41.61
3583333,28,215,3301,346192,39406,44268,43717,40553,965249,14590,40850,215,2958,83648,40353,45869,45159,41643,973155,15711,4350,3.7,45.46,10.34,40.5
3600000,28,216,3300,345456,39458,44307,43756,40601,965522,14625,32620,216,3030,57984,40266,45781,45094,41559,972915,15673,4180,1.85,56.45,8.13,33.57
3616667,28,217,3300,343888,39454,44312,43763,40600,965419,14612,30700,217,2963,76248,40411,45823,45150,41680,973360,15745,4160,3.45,46.93,10.86,38.76
3633333,28,218,3300,344112,39485,44271,43711,40611,965336,14601,44920,218,2970,76880,40514,45874,45180,41767,973471,15763,3610,2.7,46.22,11.79,39.29
3650000,28,219,3299,341408,39507,44307,43761,40639,965437,14614,32010,219,2956,75928,40547,45889,45206,41797,973673,15796,3610,2.09,49.13,10.83,37.95
3666667,28,220,3295,339168,39591,44296,43795,40705,965828,14663,29210,220,3059,50880,40419,45851,45141,41688,973373,15747,3600,1.17,59.6,8.27,30.96
3683333,28,221,3293,341408,39581,44340,43800,40703,965672,14644,44190,221,2950,70472,40584,45923,45232,41832,973786,15815,3410,2.33,49.89,10.02,37.76
3700000,28,222,3296,339728,39564,44323,43837,40693,965453,14616,26300,222,3011,64824,40666,45949,45271,41902,973960,15844,3510,1.64,55.17,8.04,35.15
3716667,28,223,3295,340552,39533,44377,43854,40679,964991,14558,28540,223,2943,83504,40638,45956,45270,41882,973825,15821,3520,4.05,44.96,11.26,39.73
3733333,28,224,3293,338216,39626,44380,43817,40744,965788,14658,40510,224,3063,51032,40521,45863,45207,41775,973600,15784,3730,1.31,60.59,6.74,31.36
3750000,28,225,3293,339520,39591,44394,43869,40726,965390,14608,24880,225,2960,73344,40641,45936,45282,41883,973808,15818,3520,2.9,47.85,10.37,38.88
